"Year","Month","Site","Block","Plot","seedlings","after_1st_yr","old_seedlings","dead","clump","alive_dess","dead_dess","herb_above","herb_below","clump_YN","grazed_YN","total","alive","prop_dead","above_YN","below_YN","herb_YN"
"2018","June","Arid","1","O",1.77551020408163,0,0,1.68367346938776,0.428571428571429,0.0204081632653061,0.887755102040816,0,0.775510204081633,1,"0",1.77551020408163,0.0918367346938775,0.948275862068966,0,1,1
"2018","June","Arid","1","W",1.58163265306122,0,0,1.1530612244898,0.26530612244898,0.214285714285714,0.438775510204082,0.0102040816326531,0.653061224489796,1,"1",1.58163265306122,0.428571428571429,0.729032258064516,1,1,1
"2018","June","Arid","1","WC",1.46153846153846,0,0,1.20512820512821,0.179487179487179,0.128205128205128,0.461538461538462,0,0.641025641025641,1,"1",1.46153846153846,0.256410256410256,0.824561403508772,0,1,1
"2018","June","Arid","2","O",2.07692307692308,0,0,2.07692307692308,0.384615384615385,0,0.192307692307692,0,0.461538461538462,1,"0",2.07692307692308,0,1,0,1,1
"2018","June","Arid","2","W",1.83870967741935,0,0,1.83870967741935,0.258064516129032,0,0.483870967741935,0,1.32258064516129,1,"1",1.83870967741935,0,1,0,1,1
"2018","June","Arid","2","WC",1.83333333333333,0,0,1.16666666666667,0.166666666666667,0.366666666666667,0.866666666666667,0,0.3,1,"1",1.83333333333333,0.666666666666667,0.636363636363636,0,1,1
"2018","June","Arid","3","O",1.6,0,0,1.6,0.4,0,0.6,0,1,1,"0",1.6,0,1,0,1,1
"2018","June","Arid","3","W",2.47169811320755,0,0,1.0377358490566,0.245283018867925,1.0188679245283,0.0377358490566038,0.0188679245283019,0.0943396226415094,1,"1",2.47169811320755,1.43396226415094,0.419847328244275,1,1,1
"2018","June","Arid","3","WC",1.52631578947368,0,0,1,0.315789473684211,0.157894736842105,0.315789473684211,0.157894736842105,0.157894736842105,1,"1",1.52631578947368,0.526315789473684,0.655172413793103,1,1,1
"2018","June","Intermediate","1","O",2.59868421052632,0,0,0.0526315789473684,0.473684210526316,0.0263157894736842,0.0197368421052632,0.0394736842105263,0.00657894736842105,1,"0",2.59868421052632,2.54605263157895,0.020253164556962,1,1,1
"2018","June","Intermediate","1","W",1.5,0,0,0.0192307692307692,0.307692307692308,0,0,0.0192307692307692,0,1,"1",1.5,1.48076923076923,0.0128205128205128,1,0,1
"2018","June","Intermediate","1","WC",1.95454545454545,0,0,0,0.227272727272727,0,0,0.113636363636364,0,1,"1",1.95454545454545,1.95454545454545,0,1,0,1
"2018","June","Intermediate","2","O",4.28,0,0,0.08,0.933333333333333,0,0.0133333333333333,0.0533333333333333,0,1,"0",4.28,4.2,0.0186915887850467,1,0,1
"2018","June","Intermediate","2","W",4.3,0,0,0.1,0.75,0,0,0.15,0,1,"1",4.3,4.2,0.0232558139534884,1,0,1
"2018","June","Intermediate","2","WC",1.28571428571429,0,0,0,0.142857142857143,0,0,0.142857142857143,0,1,"1",1.28571428571429,1.28571428571429,0,1,0,1
"2018","June","Intermediate","3","O",1.33333333333333,0,0,0,0,0.166666666666667,0,0,0,0,"0",1.33333333333333,1.33333333333333,0,0,0,0
"2018","June","Intermediate","3","W",2.2,0,0,0.8,0.4,0,0,0,0,1,"1",2.2,1.4,0.363636363636364,0,0,0
"2018","June","Intermediate","3","WC",1.5,0,0,0.75,0.5,0,0,0,0,1,"1",1.5,0.75,0.5,0,0,0
"2018","June","Mesic","1","O",0.875,0.34375,0.09375,0.03125,0.15625,0,0,0,0,1,"0",1.3125,1.28125,0.0238095238095238,0,0,0
"2018","June","Mesic","1","W",1.16363636363636,0.854545454545454,0.0181818181818182,0,0.163636363636364,0,0,0.0181818181818182,0,1,"1",2.03636363636364,2.03636363636364,0,1,0,1
"2018","June","Mesic","1","WC",0.94,0.24,0,0,0.14,0,0,0.38,0,1,"1",1.18,1.18,0,1,0,1
"2018","June","Mesic","2","O",0.7265625,1.328125,0,0,0.09375,0,0,0.0078125,0,1,"0",2.0546875,2.0546875,0,1,0,1
"2018","June","Mesic","2","W",0.28,1.02,0.48,0,0.02,0,0,0,0,1,"1",1.78,1.78,0,0,0,0
"2018","June","Mesic","2","WC",0.410714285714286,0.803571428571429,0.107142857142857,0,0.0357142857142857,0,0,0.214285714285714,0,1,"1",1.32142857142857,1.32142857142857,0,1,0,1
"2018","June","Mesic","3","O",0.66,1.29,0,0,0.17,0,0,0,0,1,"0",1.95,1.95,0,0,0,0
"2018","June","Mesic","3","W",0.621621621621622,0.945945945945946,0,0,0.121621621621622,0,0,0,0,1,"1",1.56756756756757,1.56756756756757,0,0,0,0
"2018","June","Mesic","3","WC",1,0.448275862068966,0,0.0344827586206897,0.0689655172413793,0,0,0.206896551724138,0,1,"1",1.44827586206897,1.41379310344828,0.0238095238095238,1,0,1
